delta_a,delta_b,similarity,hamming_similarity,mod_similarity,factor_similarity,bitlength_similarity,popcount_similarity,x_hamming_similarity,y_hamming_similarity,carry_chain_similarity,second_difference_similarity,cf_prefix_similarity
2,46,0.36478901515157,0.91015625,0.08,0.5,0.022727272727272728,0.041666666666666664,0.47265625,0.50390625,0.16666666666666666,9.139857679822694e-13,0.08333333333333333
2,47,0.3147286706349219,0.9140625,0.0,0.2,0.022222222222222223,0.047619047619047616,0.5,0.515625,0.125,2.0495777171071332e-14,0.0
2,48,0.31270337556466404,0.9140625,0.04,0.25,0.021739130434782608,0.047619047619047616,0.484375,0.42578125,0.09090909090909091,1.8879395605324916e-13,0.0
2,49,0.3127655193236717,0.90625,0.12,0.1,0.021739130434782608,0.04,0.5078125,0.46875,0.1111111111111111,2.408463479682434e-15,0.0
2,50,0.31733819959802123,0.91015625,0.08,0.14285714285714285,0.02040816326530612,0.045454545454545456,0.51171875,0.52734375,0.08333333333333333,4.2247742976696065e-15,0.0
2,51,0.33813577806122497,0.90234375,0.12,0.2,0.02040816326530612,0.041666666666666664,0.51953125,0.484375,0.25,7.702929688073992e-15,0.0
2,52,0.3430718750000003,0.8984375,0.16,0.3333333333333333,0.02,0.04,0.50390625,0.46484375,0.1,4.520911877030655e-15,0.0
2,53,0.32976919642857144,0.88671875,0.04,0.3333333333333333,0.02,0.03333333333333333,0.4765625,0.5234375,0.14285714285714285,1.7793421253573041e-16,0.0
2,54,0.3169254061844864,0.890625,0.04,0.2,0.018867924528301886,0.037037037037037035,0.52734375,0.5,0.125,5.086829253339351e-16,0.0
2,55,0.31656457040942926,0.875,0.08,0.2,0.019230769230769232,0.03225806451612903,0.51953125,0.48046875,0.125,3.756872031936726e-17,0.0
2,56,0.3203889000297088,0.8984375,0.04,0.25,0.01818181818181818,0.037037037037037035,0.48046875,0.5703125,0.058823529411764705,9.289045112037278e-17,0.0
