Single-span KeyHunt BSGS — one MITM per zero anchor
avg_digit_span_decimal=19342813113834066795298816 = 2^84
jobs=319

file                                        P   tz      m     k_hint range
p150_142_SE_pivot198.95_minus8+fo.bat    P150 2^82  2^41   17179869184  20006a3e0bc12d201400000000000000000000:20006a3e0bc12d2017ffffffffffffffffffff
p150_143_SE_pivot198.95_minus8+fo.bat    P150 2^81  2^41   17179869184  20003139ff2c90ed9200000000000000000000:20003139ff2c90ed93ffffffffffffffffffff
p150_144_SE_pivot198.95_minus8_fl.bat    P150 2^134 2^67   1152921504606846976  20004000000000000000000000000000000000:20007fffffffffffffffffffffffffffffffff
p150_145_SE_pivot198.95_minus8_fl.bat    P150 2^82  2^41   17179869184  200048256bf3e8eaec00000000000000000000:200048256bf3e8eaefffffffffffffffffffff
p150_146_SE_pivot198.95_minus8_fl.bat    P150 2^81  2^41   17179869184  200038c60c36a1427200000000000000000000:200038c60c36a14273ffffffffffffffffffff
p150_147_SE_pivot198.95_minus8_fl.bat    P150 2^81  2^41   17179869184  20001a4e3c0fe166f200000000000000000000:20001a4e3c0fe166f3ffffffffffffffffffff
p150_148_SE_pivot198.95_minus8_ce.bat    P150 2^135 2^68   2305843009213693952  20008000000000000000000000000000000000:2000ffffffffffffffffffffffffffffffffff
p150_149_SE_pivot198.95_minus8_ce.bat    P150 2^83  2^42   34359738368  2000904ad7e7d1d5d800000000000000000000:2000904ad7e7d1d5dfffffffffffffffffffff
p150_150_SE_pivot198.95_minus8_ce.bat    P150 2^82  2^41   17179869184  2000718c186d4284e400000000000000000000:2000718c186d4284e7ffffffffffffffffffff
p150_151_SE_pivot198.95_minus8_ce.bat    P150 2^82  2^41   17179869184  2000349c781fc2cde400000000000000000000:2000349c781fc2cde7ffffffffffffffffffff
p150_152_SE_pivot198.95_minus_n_g.bat    P150 2^36  2^18         2048  20000000000000000000000000001000000000:20000000000000000000000000001fffffffff
p150_153_SE_pivot198.95_minus_n_g.bat    P150 2^37  2^19         4096  20000000000000000000000000002000000000:20000000000000000000000000003fffffffff
p150_154_SE_pivot198.95_to_n_bits.bat    P150 2^149 2^75   295147905179352825856  20000000000000000000000000000000000000:3fffffffffffffffffffffffffffffffffffff
p150_155_SE_pivot198.95_to_n_bits.bat    P150 2^97  2^49   4398046511104  2412b5f9f47576000000000000000000000000:2412b5f9f47577ffffffffffffffffffffffff
p150_156_SE_pivot198.95_to_n_bits.bat    P150 2^97  2^49   4398046511104  38c60c36a14272000000000000000000000000:38c60c36a14273ffffffffffffffffffffffff
p150_157_SE_pivot198.95_to_n_bits.bat    P150 2^97  2^49   4398046511104  3a4e3c0fe166f2000000000000000000000000:3a4e3c0fe166f3ffffffffffffffffffffffff
p150_158_SE_pivot199.0_raw.bat           P150 2^91  2^46   549755813888  20805c7dec204cd80000000000000000000000:20805c7dec204cdfffffffffffffffffffffff
p150_159_SE_pivot199.0_raw+form56.bat    P150 2^91  2^46   549755813888  2090b31ba645b4780000000000000000000000:2090b31ba645b47fffffffffffffffffffffff
p150_160_SE_pivot199.0_raw+form56.bat    P150 2^93  2^47   1099511627776  2071de24d317dba00000000000000000000000:2071de24d317dbbfffffffffffffffffffffff
p150_161_SE_pivot199.0_raw+form56.bat    P150 2^89  2^45   274877906944  2034c27c57f4b51a0000000000000000000000:2034c27c57f4b51bffffffffffffffffffffff
p150_162_SE_pivot199.0_raw_ceil.bat      P150 2^144 2^72   36893488147419103232  21000000000000000000000000000000000000:21ffffffffffffffffffffffffffffffffffff
p150_163_SE_pivot199.0_raw_ceil+f.bat    P150 2^92  2^46   549755813888  212095afcfa3abb00000000000000000000000:212095afcfa3abbfffffffffffffffffffffff
